"Table 379-0030 Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), provinces and territories, annual (dollars x 1,000,000)(1,2,60,63,64)",,,,,,,
Survey or program details:,,,,,,,
Gross Domestic Product by Industry - Provincial and Territorial (Annual) - 1303,,,,,,,
Geography,Value,North American Industry Classification System (NAICS),2013,2014,2015,2016,2017
Nova Scotia,Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",184,199.3,211,211.1,225.8
Nova Scotia,Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],85.7,86,84,78.2,93.7
Nova Scotia,Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],131.5,137.9,141.7,128.7,141.1
Nova Scotia,Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],302.4,335,323.9,338.7,354.9
Nova Scotia,Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",410.8,404.3,403.1,369.3,402.2
Nova Scotia,Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],118,117.8,119,126.2,105.5
Nova Scotia,Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",65.7,63.8,65.4,63.1,65.5
Nova Scotia,Chained (2007) dollars,Motor vehicle and parts dealers [441],389.9,422.7,461.6,494.3,515.8
Nova Scotia,Chained (2007) dollars,Furniture and home furnishings stores [442],66.7,63,63.6,64.4,74.3
Nova Scotia,Chained (2007) dollars,Electronics and appliance stores [443],90.5,91.9,79,76.4,82.4
Nova Scotia,Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],142.9,146.3,134,144.4,156
Nova Scotia,Chained (2007) dollars,Food and beverage stores [445],497.9,482.8,469.8,460.1,466.5
Nova Scotia,Chained (2007) dollars,Health and personal care stores [446],218.2,216.4,222,226.2,240.5
Nova Scotia,Chained (2007) dollars,Gasoline stations [447],177.4,166.2,160.7,170.3,166
Nova Scotia,Chained (2007) dollars,Clothing and clothing accessories stores [448],170,175.1,176.5,182.7,184.6
Nova Scotia,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",55.1,59.8,60.8,61.7,63.8
Nova Scotia,Chained (2007) dollars,General merchandise stores [452],269.7,260.2,257.2,263.4,275.9
Nova Scotia,Chained (2007) dollars,Miscellaneous store retailers [453],72.8,65.6,67,70.8,74
Nova Scotia,Chained (2007) dollars,Non-store retailers [454],89.3,92.4,100.3,101.2,99.3
Nova Scotia,Chained (2007) dollars,Air transportation [481],117.2,114.7,125.4,136.2,147.3
Nova Scotia,Chained (2007) dollars,Rail transportation [482],69,64.1,71.8,70.8,72.1
Nova Scotia,Chained (2007) dollars,Water transportation [483],132.2,142.1,149.6,149.1,155.6
Nova Scotia,Chained (2007) dollars,Truck transportation [484],302.3,331,347.5,360.2,375.3
Nova Scotia,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",70,70.7,70.8,69.5,71.2
Nova Scotia,Chained (2007) dollars,Support activities for transportation [488],191.9,199.7,214.3,224.5,234.2
Nova Scotia,Chained (2007) dollars,Pipeline transportation [486],19,30.8,18.4,16.5,11.5
Nova Scotia,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",151.1,139.7,134.9,131.6,133.4
Nova Scotia,Chained (2007) dollars,Warehousing and storage [493],35.1,36.7,34.4,30.4,31.5
Nova Scotia,Chained (2007) dollars,Publishing industries (except internet) [511],123.8,124.9,114.4,91.9,87.1
Nova Scotia,Chained (2007) dollars,Motion picture and sound recording industries [512],37.5,34,37.4,38.5,39.8
Nova Scotia,Chained (2007) dollars,Broadcasting (except internet) [515],72.2,67.9,69.3,65.4,60.5
Nova Scotia,Chained (2007) dollars,Telecommunications [517],808.7,815.2,808.2,805.8,805.2
Nova Scotia,Chained (2007) dollars,"Data processing, hosting, and related services [518]",14.5,15.6,13.4,12.8,12.2
Nova Scotia,Chained (2007) dollars,Other information services [519],22.4,25.4,25.5,27.9,26.8
Nova Scotia,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),859.4,855.5,884,896,886.2
Nova Scotia,Chained (2007) dollars,Non-depository credit intermediation [5222],148.3,139.8,139.9,148.2,161.8
Nova Scotia,Chained (2007) dollars,Activities related to credit intermediation [5223],34.6,34.5,36.4,33.4,28.1
Nova Scotia,Chained (2007) dollars,Insurance carriers and related activities [524],543.7,525.1,521.7,538,542.1
Nova Scotia,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",186.4,199.3,204.2,197.7,190.2
Nova Scotia,Chained (2007) dollars,Real estate [531],4954.6,5051.5,5141.9,5235.3,5356.3
Nova Scotia,Chained (2007) dollars,Rental and leasing services [532],193.4,170.3,180.3,182.3,193.8
Nova Scotia,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],16.1,16,17.4,18.8,17.7
Nova Scotia,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",414.7,409.2,398.7,397.9,390.7
Nova Scotia,Chained (2007) dollars,"Architectural, engineering and related services [5413]",380,383.8,439.4,413.6,404.8
Nova Scotia,Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",309.6,295,298.3,299.8,298.6
Nova Scotia,Chained (2007) dollars,Computer systems design and related services [5415],224.2,280.8,318.4,370.7,420.9
Nova Scotia,Chained (2007) dollars,"Advertising, public relations, and related services [5418]",37.7,37.4,41.9,43.8,46.4
Nova Scotia,Chained (2007) dollars,Administrative and support services [561],573.2,581.2,560.6,540.3,533.9
Nova Scotia,Chained (2007) dollars,Waste management and remediation services [562],83.3,92.7,99.1,103.8,105
Nova Scotia,Chained (2007) dollars,Universities [6113],949.6,968.2,1009.7,1039.2,1053.6
Nova Scotia,Chained (2007) dollars,Educational services (except universities) [611B]  (47),1267,1267.9,1258.1,1220.5,1226.6
Nova Scotia,Chained (2007) dollars,Health care [62X]  (49),2927.8,3007.8,3024.8,3054,3089.6
Nova Scotia,Chained (2007) dollars,Social assistance [624],196.4,199.1,206.3,218.1,231.2
Nova Scotia,Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",53,54.6,55.8,55.7,56.8
Nova Scotia,Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",115.6,122.5,135,145.5,149.9
Nova Scotia,Chained (2007) dollars,Accommodation services [721],241.6,249,251.4,251.8,255.2
Nova Scotia,Chained (2007) dollars,Food services and drinking places [722],517,530.2,536.3,549.8,542.7
Nova Scotia,Chained (2007) dollars,Repair and maintenance [811],223,230.6,226.9,227.5,237.1
Nova Scotia,Chained (2007) dollars,Personal services and private households [81A]  (55),195.1,196.4,198.5,200,203
Nova Scotia,Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",235.1,233.5,226.8,222.5,220.2
Nova Scotia,Chained (2007) dollars,Federal government public administration [911],2202.1,2181.2,2164.1,2143.1,2130.2
Nova Scotia,Chained (2007) dollars,Provincial and territorial public administration [912],980.7,978.6,989.5,987.3,977.8
Nova Scotia,Chained (2007) dollars,"Local, municipal, regional and aboriginal public administration [91A]  (59)",701.5,698.6,729.6,755,763
New Brunswick,Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",4.8,4.7,3.7,2.3,0
New Brunswick,Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",848.6,861.5,886.1,925.5,909.9
New Brunswick,Chained (2007) dollars,Crop and animal production [11A]  (13),279.7,283,317.5,336.6,341.4
New Brunswick,Chained (2007) dollars,Forestry and logging [113],250.9,276,308.7,315.6,315
New Brunswick,Chained (2007) dollars,"Fishing, hunting and trapping [114]",146.3,161.7,154.4,161.7,163.2
New Brunswick,Chained (2007) dollars,Support activities for agriculture and forestry [115],66.5,69,77.3,74.3,73.5
New Brunswick,Chained (2007) dollars,Oil and gas extraction [211],6.8,6.8,2.9,5.7,2.3
New Brunswick,Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],292.3,206.2,244.9,163.9,157.7
New Brunswick,Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],37,37.4,39.8,32.6,36.4
New Brunswick,Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",887.1,988.7,935.7,944.8,968.8
New Brunswick,Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",62.9,62.6,61.4,61.7,61.3
New Brunswick,Chained (2007) dollars,Residential building construction [23A]  (20),586.9,580.9,576.4,562.3,585.3
New Brunswick,Chained (2007) dollars,Non-residential building construction [23B]  (20),275.6,231.9,179.6,194.3,249.6
New Brunswick,Chained (2007) dollars,Engineering construction [23C]  (20),237.5,255,278.6,315.4,306.6
New Brunswick,Chained (2007) dollars,Repair construction [23D]  (20),299.8,345.1,402.3,404,426.1
New Brunswick,Chained (2007) dollars,Other activities of the construction industry [23E]  (20),10.1,10.7,10.4,10.8,11.5
New Brunswick,Chained (2007) dollars,Food manufacturing [311],641.7,679,714.9,766.6,774.5
New Brunswick,Chained (2007) dollars,Beverage and tobacco product manufacturing [312],88.7,92.7,94.5,93.1,91.6
New Brunswick,Chained (2007) dollars,Textile and textile product mills [31A]  (23),6.8,8,8.5,7.9,8.2
New Brunswick,Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),2.8,2.8,2.7,2.5,2.6
New Brunswick,Chained (2007) dollars,Wood product manufacturing [321],269.1,275.1,300.6,323.9,339.1
New Brunswick,Chained (2007) dollars,Paper manufacturing [322],297.9,320.5,344.6,353.6,349
New Brunswick,Chained (2007) dollars,Printing and related support activities [323],10.4,9.7,10.1,9.7,9.9
New Brunswick,Chained (2007) dollars,Petroleum and coal product manufacturing [324],806.2,680.7,728.9,723.8,786.9
New Brunswick,Chained (2007) dollars,Chemical manufacturing [325],17.5,16.3,17.6,20.1,19.6
New Brunswick,Chained (2007) dollars,Plastics and rubber products manufacturing [326],79.1,94,104.4,111.8,125.2
New Brunswick,Chained (2007) dollars,Non-metallic mineral product manufacturing [327],74.6,72,74.1,83.8,92.3
New Brunswick,Chained (2007) dollars,Primary metal manufacturing [331],259.6,263.3,350.6,355,294.2
New Brunswick,Chained (2007) dollars,Fabricated metal product manufacturing [332],158.5,161.5,140.3,133.2,146.9
New Brunswick,Chained (2007) dollars,Machinery manufacturing [333],58.7,61.3,64,65.9,73.4
New Brunswick,Chained (2007) dollars,Computer and electronic product manufacturing [334],14.3,16.3,17.6,18.3,17.5
New Brunswick,Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",5.8,5,3.7,1.6,0.8
New Brunswick,Chained (2007) dollars,Transportation equipment manufacturing [336],43,29.2,23.1,26.6,27.7
New Brunswick,Chained (2007) dollars,Furniture and related product manufacturing [337],45.6,43.9,37.9,41.4,39.6
New Brunswick,Chained (2007) dollars,Miscellaneous manufacturing [339],121.9,114.6,110.4,41,37.4
New Brunswick,Chained (2007) dollars,Farm product wholesaler-distributors [411],11.7,10.2,11.9,9.8,8.4
New Brunswick,Chained (2007) dollars,Petroleum product wholesaler-distributors [412],221.4,221.3,255.7,269.5,282.5
New Brunswick,Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",241.9,198.9,183.3,196.8,204.3
New Brunswick,Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],25,26.7,27.1,21.1,21.7
New Brunswick,Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],99.7,96.7,103,92.1,99.4
New Brunswick,Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],161,154.2,158.8,164.3,170.5
New Brunswick,Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",228.5,232,249.3,250.3,284.1
New Brunswick,Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],47.3,44.5,55.2,63.6,62.5
New Brunswick,Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",53,50.1,53.3,53.9,56
New Brunswick,Chained (2007) dollars,Motor vehicle and parts dealers [441],317.3,337.7,351.1,362.9,400.2
New Brunswick,Chained (2007) dollars,Furniture and home furnishings stores [442],50.3,53.4,57.3,60.1,64.7
New Brunswick,Chained (2007) dollars,Electronics and appliance stores [443],52.1,56.1,56.3,52.8,52.4
New Brunswick,Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],152.4,155.1,151.2,154.9,168.6
New Brunswick,Chained (2007) dollars,Food and beverage stores [445],286.9,291.6,293.6,296.1,291.3
New Brunswick,Chained (2007) dollars,Health and personal care stores [446],332.8,349.4,391.8,415.9,440
New Brunswick,Chained (2007) dollars,Gasoline stations [447],161.1,151.4,156.5,152.4,151.5
New Brunswick,Chained (2007) dollars,Clothing and clothing accessories stores [448],123.6,117.8,120.7,127,131.7
New Brunswick,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",40.3,45.8,49.9,53.4,54.9
New Brunswick,Chained (2007) dollars,General merchandise stores [452],219.3,219.9,216.1,221.8,227.2
New Brunswick,Chained (2007) dollars,Miscellaneous store retailers [453],63,66.2,67,76.1,85.8
New Brunswick,Chained (2007) dollars,Non-store retailers [454],69.4,76.1,71,72.6,77.2
New Brunswick,Chained (2007) dollars,Air transportation [481],27.7,32.4,34,35.9,39.1
New Brunswick,Chained (2007) dollars,Rail transportation [482],131.4,133.4,149.3,147.6,150.4
New Brunswick,Chained (2007) dollars,Water transportation [483],29.2,32.3,35.7,35,37.7
New Brunswick,Chained (2007) dollars,Truck transportation [484],763.8,728.9,797.5,815.2,875.1
New Brunswick,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",32.3,28.9,28.2,27.7,28.1
New Brunswick,Chained (2007) dollars,Support activities for transportation [488],154.2,163.5,179.4,187.8,202.2
New Brunswick,Chained (2007) dollars,Pipeline transportation [486],45.2,69.6,41.3,37.2,25.7
New Brunswick,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",73.8,72.7,68.8,64.5,64.7
New Brunswick,Chained (2007) dollars,Warehousing and storage [493],37.3,38.7,41,43.4,41.3
New Brunswick,Chained (2007) dollars,Publishing industries (except internet) [511],95.3,95.2,87.4,85.6,84.4
New Brunswick,Chained (2007) dollars,Motion picture and sound recording industries [512],10.4,12.9,12.8,12.7,12.3
New Brunswick,Chained (2007) dollars,Broadcasting (except internet) [515],46.7,42.5,45.3,41.5,37.5
New Brunswick,Chained (2007) dollars,Telecommunications [517],563.5,562.4,557.4,554.1,552.3
New Brunswick,Chained (2007) dollars,"Data processing, hosting, and related services [518]",39.6,42.8,39.9,42.5,41.3
New Brunswick,Chained (2007) dollars,Other information services [519],16.3,17.6,19.7,18.9,17.3
New Brunswick,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),662.3,669.9,689.5,711.7,746.9
New Brunswick,Chained (2007) dollars,Non-depository credit intermediation [5222],72,68.1,72.1,76.3,81.5
New Brunswick,Chained (2007) dollars,Activities related to credit intermediation [5223],19.9,20.6,21.6,22.9,19.4
New Brunswick,Chained (2007) dollars,Insurance carriers and related activities [524],461.5,458.7,466.8,479.7,501.3
New Brunswick,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",135.4,144.2,149.7,156,148.9
New Brunswick,Chained (2007) dollars,Real estate [531],3130.2,3206.8,3279.6,3373.3,3432.3
New Brunswick,Chained (2007) dollars,Rental and leasing services [532],134.2,120.4,120.3,120.2,126.8
New Brunswick,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],15.7,20.5,20.1,19.9,19.4
New Brunswick,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",327.8,308.3,326.2,323.5,331
New Brunswick,Chained (2007) dollars,"Architectural, engineering and related services [5413]",213.4,237.3,232.5,206.3,208.5
New Brunswick,Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",154.4,148.9,134.9,140.7,142.7
New Brunswick,Chained (2007) dollars,Computer systems design and related services [5415],138.1,145.2,175.7,209.5,196.6
New Brunswick,Chained (2007) dollars,"Advertising, public relations, and related services [5418]",13,14.2,14.2,13.1,12.5
New Brunswick,Chained (2007) dollars,Administrative and support services [561],867.5,889,888.3,862.6,859.1
New Brunswick,Chained (2007) dollars,Waste management and remediation services [562],71.3,76.1,81.8,81.5,84.4
New Brunswick,Chained (2007) dollars,Universities [6113],490.3,502.2,514.4,517.1,521.9
New Brunswick,Chained (2007) dollars,Educational services (except universities) [611B]  (47),1077.5,1074,1075,1078.6,1083.9
New Brunswick,Chained (2007) dollars,Health care [62X]  (49),2179.5,2175.9,2192,2231.7,2216.7
New Brunswick,Chained (2007) dollars,Social assistance [624],134.7,130.8,135.3,140.6,144.5
New Brunswick,Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",42.5,36.2,36.2,35.9,36.6
New Brunswick,Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",99.8,98.5,102.1,104.5,107.5
New Brunswick,Chained (2007) dollars,Accommodation services [721],147.6,149,150.3,149.7,146.4
New Brunswick,Chained (2007) dollars,Food services and drinking places [722],380.5,389,396.5,417.3,419.9
New Brunswick,Chained (2007) dollars,Repair and maintenance [811],212.7,215.3,210.8,213.7,212.1
New Brunswick,Chained (2007) dollars,Personal services and private households [81A]  (55),138.1,134.1,135.2,136.4,138.1
New Brunswick,Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",181.6,183.8,182.1,185.5,183.4
New Brunswick,Chained (2007) dollars,Federal government public administration [911],1270.2,1265.2,1281.4,1294.6,1315.4
New Brunswick,Chained (2007) dollars,Provincial and territorial public administration [912],1073.8,1039.1,1034.1,1038.6,1019.3
New Brunswick,Chained (2007) dollars,"Local, municipal, regional and aboriginal public administration [91A]  (59)",547,556.4,565.3,566.3,576
Quebec,Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",872.9,850.5,789.2,801.5,851.9
Quebec,Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",14116.7,14195.7,14556,14891.3,15752.5
Quebec,Chained (2007) dollars,Crop and animal production [11A]  (13),3489.3,3287,3436.4,3617.8,3632.8
Quebec,Chained (2007) dollars,Forestry and logging [113],1010.6,1079.9,1186.5,1198.9,1112
Quebec,Chained (2007) dollars,"Fishing, hunting and trapping [114]",71.2,73.3,70.2,71,72.5
Quebec,Chained (2007) dollars,Support activities for agriculture and forestry [115],511.2,524.7,561.7,591.7,599.6
Quebec,Chained (2007) dollars,Oil and gas extraction [211],0.4,0.4,0.1,0.2,0.1
Quebec,Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],3539.8,4241.6,4625.4,4648,4952.6
Quebec,Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],202.6,160.7,125.7,104.9,103.4
Quebec,Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",11456.6,11736,11683.8,11789.9,12228.1
Quebec,Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",1162.2,1185.7,1176.6,1165.5,1190.2
Quebec,Chained (2007) dollars,Residential building construction [23A]  (20),7119.7,7048.4,6939.6,7060.4,7621.7
Quebec,Chained (2007) dollars,Non-residential building construction [23B]  (20),2814,2924.8,2859.8,2646.9,2736.1
Quebec,Chained (2007) dollars,Engineering construction [23C]  (20),6998.9,5582.4,5288,5807.6,5678.3
Quebec,Chained (2007) dollars,Repair construction [23D]  (20),3429,3814.5,4028.5,4059,4216.7
Quebec,Chained (2007) dollars,Other activities of the construction industry [23E]  (20),379.7,402.6,396.4,400.3,413
Quebec,Chained (2007) dollars,Food manufacturing [311],4953.5,5368.6,5511.3,5726.7,6064.7
Quebec,Chained (2007) dollars,Beverage and tobacco product manufacturing [312],1621,1672.2,1706.2,1741,1676.2
Quebec,Chained (2007) dollars,Textile and textile product mills [31A]  (23),511,479.1,507.8,466.4,491.2
Quebec,Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),725.8,755.9,665.2,575.4,564.8
Quebec,Chained (2007) dollars,Wood product manufacturing [321],2173.6,2251.2,2408.7,2577.6,2592.2
Quebec,Chained (2007) dollars,Paper manufacturing [322],2163.3,2332.1,2357.9,2372.7,2381.9
Quebec,Chained (2007) dollars,Printing and related support activities [323],944.5,971.3,995.6,1004.3,967.3
Quebec,Chained (2007) dollars,Petroleum and coal product manufacturing [324],1007.8,1068.2,1025.1,1027.5,1118
Quebec,Chained (2007) dollars,Chemical manufacturing [325],2991.4,3070.9,3331.6,3517.4,3642.1
Quebec,Chained (2007) dollars,Plastics and rubber products manufacturing [326],2489.3,2485.9,2565.2,2654.9,2986.8
Quebec,Chained (2007) dollars,Non-metallic mineral product manufacturing [327],1296.7,1313,1279.5,1274.3,1370.2
Quebec,Chained (2007) dollars,Primary metal manufacturing [331],5253.9,5669.7,5689.5,5480,5582.5
Quebec,Chained (2007) dollars,Fabricated metal product manufacturing [332],3085.7,3047.2,2949.4,2857,3114.2
Quebec,Chained (2007) dollars,Machinery manufacturing [333],2976.2,2891,2975.8,3113.2,3362.7
Quebec,Chained (2007) dollars,Computer and electronic product manufacturing [334],1235,1235.6,1156,1159.2,1255.2
Quebec,Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",1227.3,1027.5,942.1,935.5,962
Quebec,Chained (2007) dollars,Transportation equipment manufacturing [336],6182.6,6810.9,6553.5,5903.2,5881.3
Quebec,Chained (2007) dollars,Furniture and related product manufacturing [337],1322.1,1288.2,1304.8,1287.2,1384.2
Quebec,Chained (2007) dollars,Miscellaneous manufacturing [339],898,840.7,912,907,930.5
Quebec,Chained (2007) dollars,Farm product wholesaler-distributors [411],83.3,85.8,101.6,95.9,106.5
Quebec,Chained (2007) dollars,Petroleum product wholesaler-distributors [412],94.4,93.7,99.3,104.7,102.9
Quebec,Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",3097.7,3035.3,3114.6,3253.4,3557.5
Quebec,Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],4401.9,4969.4,5015,5028.9,5286.8
Quebec,Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],1091.8,1083,1073.7,991.3,1123.8
Quebec,Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],2818.9,2740.4,2708.8,2929.8,3082.3
Quebec,Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",4172,4311.5,4489.1,4088.2,4559.5
Quebec,Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],2160.2,2086.2,2183.7,2153.5,1957.7
Quebec,Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",368.6,386,392.1,385.5,404.5
Quebec,Chained (2007) dollars,Motor vehicle and parts dealers [441],3141.3,3217.2,3353.4,3593.1,3815.9
Quebec,Chained (2007) dollars,Furniture and home furnishings stores [442],802.5,872.9,857.9,840.5,851.6
Quebec,Chained (2007) dollars,Electronics and appliance stores [443],728.5,724.8,726.3,736.5,928
Quebec,Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],1334.5,1343.6,1384.5,1505.7,1602.2
Quebec,Chained (2007) dollars,Food and beverage stores [445],3230.8,3179.6,3187.1,3263.8,3349
Quebec,Chained (2007) dollars,Health and personal care stores [446],2277.9,2302.6,2412.5,2597.7,2705
Quebec,Chained (2007) dollars,Gasoline stations [447],1114.7,1135.8,1078.4,1087.8,1077.6
Quebec,Chained (2007) dollars,Clothing and clothing accessories stores [448],2072.3,2066.6,2236.5,2250.4,2285.9
Quebec,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",585.6,585.2,568.9,566.5,558.4
Quebec,Chained (2007) dollars,General merchandise stores [452],1778.3,1704,1657.3,1666.4,1728
Quebec,Chained (2007) dollars,Miscellaneous store retailers [453],680.5,655.5,656.1,696.5,721.2
Quebec,Chained (2007) dollars,Non-store retailers [454],382.7,360.7,396.8,409.6,436.3
Quebec,Chained (2007) dollars,Air transportation [481],1135.9,1338.3,1510.1,1710.1,1919.5
Quebec,Chained (2007) dollars,Rail transportation [482],1045.5,1070.4,1193.2,1176,1214.5
Quebec,Chained (2007) dollars,Water transportation [483],176.9,187.9,198.1,197.4,208.8
Quebec,Chained (2007) dollars,Truck transportation [484],4285.9,4336.7,4489.5,4594,4874
Quebec,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",1796,1833.2,1818.6,1826.3,1897.9
Quebec,Chained (2007) dollars,Support activities for transportation [488],2413.8,2602,2753.2,2953.3,3150.7
Quebec,Chained (2007) dollars,Pipeline transportation [486],107.5,119,119.9,121.3,123.3
Quebec,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",1296.3,1255.9,1199.5,1178.8,1200.6
Quebec,Chained (2007) dollars,Warehousing and storage [493],325,325.2,327.1,322.7,334.2
Quebec,Chained (2007) dollars,Publishing industries (except internet) [511],2006.1,2036.7,1916.7,1948,2066.5
Quebec,Chained (2007) dollars,Motion picture and sound recording industries [512],528.1,626.7,700,750,782.8
Quebec,Chained (2007) dollars,Broadcasting (except internet) [515],1063.3,982,966.1,1011.5,937.5
Quebec,Chained (2007) dollars,Telecommunications [517],6156.1,5909.7,5890.3,5876,5889.7
Quebec,Chained (2007) dollars,"Data processing, hosting, and related services [518]",141.3,144.6,130,141.3,152.4
Quebec,Chained (2007) dollars,Other information services [519],187.4,208.9,229.3,264.5,244.4
Quebec,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),8910.8,8904.5,9312.4,9702.3,9782.9
Quebec,Chained (2007) dollars,Non-depository credit intermediation [5222],826.7,830.8,889,953.2,1027.2
Quebec,Chained (2007) dollars,Activities related to credit intermediation [5223],227.4,246,255.6,262.5,291.2
Quebec,Chained (2007) dollars,Insurance carriers and related activities [524],5583.7,5490.3,5425.5,5423.1,5519.7
Quebec,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",3204.9,3475.6,3797.3,3899.6,4082
Quebec,Chained (2007) dollars,Real estate [531],32686.9,33450,34297.5,35360.6,36320.8
Quebec,Chained (2007) dollars,Rental and leasing services [532],1794.5,1735.1,1853.2,1829,1880.3
Quebec,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],348.6,362,378.1,374.5,390.3
Quebec,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",3908,3971.8,4007.9,4106,4232.8
Quebec,Chained (2007) dollars,"Architectural, engineering and related services [5413]",3245.1,3618.6,3418.6,3276.6,3331.6
Quebec,Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",3611.7,3488.5,3530.7,3478.8,3592.9
Quebec,Chained (2007) dollars,Computer systems design and related services [5415],5245,5431.5,5751.5,5996,6527.6
Quebec,Chained (2007) dollars,"Advertising, public relations, and related services [5418]",793,821.6,826.6,841.3,894.2
Quebec,Chained (2007) dollars,Administrative and support services [561],7074.9,7134.6,7030.2,7146.7,7236.4
Quebec,Chained (2007) dollars,Waste management and remediation services [562],1066.7,1156.2,1096.4,1099,1148.3
Quebec,Chained (2007) dollars,Universities [6113],6812.6,7053.8,6983.3,6905,6970.9
Quebec,Chained (2007) dollars,Educational services (except universities) [611B]  (47),11598,11773.6,11772.5,11919.4,12117.2
Quebec,Chained (2007) dollars,Health care [62X]  (49),21241.1,21485.6,21678,21924.6,22248.7
Quebec,Chained (2007) dollars,Social assistance [624],3046.2,3098.2,3220.8,3314.5,3416.8
Quebec,Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",1174.1,1282.5,1314.2,1317.7,1347.9
Quebec,Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",1359.7,1335.9,1403.8,1447.4,1480.3
Quebec,Chained (2007) dollars,Accommodation services [721],1826.6,1842.4,1878.7,1896.2,1912.8
Quebec,Chained (2007) dollars,Food services and drinking places [722],4813.5,5166.3,5243.9,5517.7,5797.3
