"Table 379-0030 Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), provinces and territories, annual (dollars x 1,000,000)(1,2,60,63,64)",,,,,,,
Survey or program details:,,,,,,,
Gross Domestic Product by Industry - Provincial and Territorial (Annual) - 1303,,,,,,,
Geography,Value,North American Industry Classification System (NAICS),2013,2014,2015,2016,2017
Newfoundland and Labrador,Chained (2007) dollars,Clothing and clothing accessories stores [448],97.1,101.5,103.3,104.6,102.1
Newfoundland and Labrador,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",31.1,31.2,35.5,33.7,31.3
Newfoundland and Labrador,Chained (2007) dollars,General merchandise stores [452],239.7,242.4,242.9,228.6,224
Newfoundland and Labrador,Chained (2007) dollars,Miscellaneous store retailers [453],38.1,43,46.2,49,50.1
Newfoundland and Labrador,Chained (2007) dollars,Non-store retailers [454],37.1,30.2,40.6,45.2,50.3
Newfoundland and Labrador,Chained (2007) dollars,Air transportation [481],80.1,91.1,96.7,106.3,113.2
Newfoundland and Labrador,Chained (2007) dollars,Rail transportation [482],32.5,62.7,70.2,69.4,72.7
Newfoundland and Labrador,Chained (2007) dollars,Water transportation [483],156.7,160.9,163.4,154.5,158.9
Newfoundland and Labrador,Chained (2007) dollars,Truck transportation [484],124.8,137.1,138.6,132.7,139
Newfoundland and Labrador,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",42.5,43.2,42.8,39.2,38.6
Newfoundland and Labrador,Chained (2007) dollars,Support activities for transportation [488],208.5,221.3,227.2,233.7,242.5
Newfoundland and Labrador,Chained (2007) dollars,Pipeline transportation [486],0,0,0,0,0
Newfoundland and Labrador,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",47.1,47.2,44.8,43.1,42.3
Newfoundland and Labrador,Chained (2007) dollars,Warehousing and storage [493],14.9,16,14.8,16.4,15.1
Newfoundland and Labrador,Chained (2007) dollars,Publishing industries (except internet) [511],50.6,50.1,46.6,44.8,43
Newfoundland and Labrador,Chained (2007) dollars,Motion picture and sound recording industries [512],14.5,15.7,11.9,11.7,11
Newfoundland and Labrador,Chained (2007) dollars,Broadcasting (except internet) [515],38.3,36.2,33.2,34,31.8
Newfoundland and Labrador,Chained (2007) dollars,Telecommunications [517],485.3,500.1,496.6,492.8,488.3
Newfoundland and Labrador,Chained (2007) dollars,"Data processing, hosting, and related services [518]",0.4,0.4,0.3,0.3,0.3
Newfoundland and Labrador,Chained (2007) dollars,Other information services [519],13.9,14.6,15.8,16.5,17
Newfoundland and Labrador,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),452.3,453.8,456.9,468.4,492.9
Newfoundland and Labrador,Chained (2007) dollars,Non-depository credit intermediation [5222],37.9,34.5,33.8,36.5,39
Newfoundland and Labrador,Chained (2007) dollars,Activities related to credit intermediation [5223],30.5,29.5,31,30.9,27.9
Newfoundland and Labrador,Chained (2007) dollars,Insurance carriers and related activities [524],230.9,220.8,228.8,242,224.8
Newfoundland and Labrador,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",99,103.9,113,119,107.1
Newfoundland and Labrador,Chained (2007) dollars,Real estate [531],2070.4,2148.1,2201.8,2233.5,2276.9
Newfoundland and Labrador,Chained (2007) dollars,Rental and leasing services [532],101.1,135.4,134,140,137.9
Newfoundland and Labrador,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],11.2,11.1,12.1,12,11.7
Newfoundland and Labrador,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",194.3,205.5,234.2,224.1,219
Newfoundland and Labrador,Chained (2007) dollars,"Architectural, engineering and related services [5413]",169.1,187.7,153.8,148.2,140.3
Newfoundland and Labrador,Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",118.6,129,109.9,103.3,102.8
Newfoundland and Labrador,Chained (2007) dollars,Computer systems design and related services [5415],65.4,60.5,63,72.7,81.4
Newfoundland and Labrador,Chained (2007) dollars,"Advertising, public relations, and related services [5418]",12,12,11.8,9.9,10.3
Newfoundland and Labrador,Chained (2007) dollars,Administrative and support services [561],288.4,294.9,289.2,287.2,271.6
Newfoundland and Labrador,Chained (2007) dollars,Waste management and remediation services [562],33.6,37.2,35,34.4,33.4
Newfoundland and Labrador,Chained (2007) dollars,Universities [6113],415,433.1,441.7,445.2,445.1
Newfoundland and Labrador,Chained (2007) dollars,Educational services (except universities) [611B]  (47),875.6,854.4,845.4,835.9,833
Newfoundland and Labrador,Chained (2007) dollars,Health care [62X]  (49),1693.7,1690.8,1715.2,1728.4,1736.6
Newfoundland and Labrador,Chained (2007) dollars,Social assistance [624],115,113.4,117.2,123.4,128
Newfoundland and Labrador,Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",27.9,26.5,26.6,26.2,26.5
Newfoundland and Labrador,Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",32.6,33.2,32.9,38.2,36.6
Newfoundland and Labrador,Chained (2007) dollars,Accommodation services [721],135.4,135.1,134.9,134.9,136.1
Newfoundland and Labrador,Chained (2007) dollars,Food services and drinking places [722],295,311.3,316.4,317,316.3
Newfoundland and Labrador,Chained (2007) dollars,Repair and maintenance [811],175.7,180.2,179.9,179.6,181.4
Newfoundland and Labrador,Chained (2007) dollars,Personal services and private households [81A]  (55),126.8,125.1,126.2,127.5,128.7
Newfoundland and Labrador,Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",134,134.5,136.5,135.6,132.3
Newfoundland and Labrador,Chained (2007) dollars,Federal government public administration [911],637.3,635.1,645.4,647.5,660.1
Newfoundland and Labrador,Chained (2007) dollars,Provincial and territorial public administration [912],689.3,665.3,650.3,652.3,660.2
Newfoundland and Labrador,Chained (2007) dollars,"Local, municipal, regional and aboriginal public administration [91A]  (59)",354.8,367.9,392.5,420.1,417.9
Prince Edward Island,Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",3.4,2.8,1.5,1.8,1.6
Prince Edward Island,Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",145.1,151.1,154.3,158,160.1
Prince Edward Island,Chained (2007) dollars,Crop and animal production [11A]  (13),182.5,182.3,180.7,188.8,181.4
Prince Edward Island,Chained (2007) dollars,Forestry and logging [113],5.1,4.8,5.5,6,5.7
Prince Edward Island,Chained (2007) dollars,"Fishing, hunting and trapping [114]",81.1,77.7,83.3,71,73.7
Prince Edward Island,Chained (2007) dollars,Support activities for agriculture and forestry [115],14.4,15.5,16.7,16.1,16
Prince Edward Island,Chained (2007) dollars,Oil and gas extraction [211],0,0,0,0,0
Prince Edward Island,Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],1.4,1.1,1.2,1.4,1.6
Prince Edward Island,Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],0.4,0.6,0.4,0.3,0.6
Prince Edward Island,Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",72.4,78.7,81.2,82.9,84.4
Prince Edward Island,Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",11.1,10.5,10.5,10.8,11
Prince Edward Island,Chained (2007) dollars,Residential building construction [23A]  (20),94.3,78.3,81.5,83.2,110.4
Prince Edward Island,Chained (2007) dollars,Non-residential building construction [23B]  (20),48.7,45.3,37.5,41.9,46.9
Prince Edward Island,Chained (2007) dollars,Engineering construction [23C]  (20),58.6,26.5,21.9,27.4,29.9
Prince Edward Island,Chained (2007) dollars,Repair construction [23D]  (20),58.3,65.3,68.5,68.6,72
Prince Edward Island,Chained (2007) dollars,Other activities of the construction industry [23E]  (20),2.5,2.7,2.5,2.7,3.3
Prince Edward Island,Chained (2007) dollars,Food manufacturing [311],235.3,280.1,268.4,273.6,290.5
Prince Edward Island,Chained (2007) dollars,Beverage and tobacco product manufacturing [312],1.9,2.2,2.1,2.4,2.6
Prince Edward Island,Chained (2007) dollars,Textile and textile product mills [31A]  (23),0.7,0.6,0.5,1.3,0.9
Prince Edward Island,Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),0.7,0.8,1.2,0.7,0.7
Prince Edward Island,Chained (2007) dollars,Wood product manufacturing [321],3.2,2.9,1.9,1.8,1.9
Prince Edward Island,Chained (2007) dollars,Paper manufacturing [322],9.3,10.5,10.8,11.5,12.6
Prince Edward Island,Chained (2007) dollars,Printing and related support activities [323],4.1,4.1,4.5,4.5,4.3
Prince Edward Island,Chained (2007) dollars,Petroleum and coal product manufacturing [324],0.7,0.6,0.5,0.6,0.5
Prince Edward Island,Chained (2007) dollars,Chemical manufacturing [325],52.8,58.7,69.4,68.5,71.2
Prince Edward Island,Chained (2007) dollars,Plastics and rubber products manufacturing [326],0,0,0,0,0
Prince Edward Island,Chained (2007) dollars,Non-metallic mineral product manufacturing [327],10.6,6.9,8.2,9.3,10.8
Prince Edward Island,Chained (2007) dollars,Primary metal manufacturing [331],1.2,0.8,1.1,0.9,0.8
Prince Edward Island,Chained (2007) dollars,Fabricated metal product manufacturing [332],17.7,20.6,21.5,22.8,23.4
Prince Edward Island,Chained (2007) dollars,Machinery manufacturing [333],7.4,12.1,20.6,19.7,21.8
Prince Edward Island,Chained (2007) dollars,Computer and electronic product manufacturing [334],4.1,3.8,2.5,2.6,2.2
Prince Edward Island,Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",0.6,1,4.8,0.9,1.4
Prince Edward Island,Chained (2007) dollars,Transportation equipment manufacturing [336],66.6,60.1,61.7,70.4,72.8
Prince Edward Island,Chained (2007) dollars,Furniture and related product manufacturing [337],2.9,1.5,1.2,1,1.1
Prince Edward Island,Chained (2007) dollars,Miscellaneous manufacturing [339],3.7,2.9,1.4,1.4,1.5
Prince Edward Island,Chained (2007) dollars,Farm product wholesaler-distributors [411],0.7,0.7,0.6,0.6,0.6
Prince Edward Island,Chained (2007) dollars,Petroleum product wholesaler-distributors [412],0.1,0,0,0,0
Prince Edward Island,Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",38.7,35.9,34.2,35.4,35.8
Prince Edward Island,Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],12.1,10.4,9.8,8.9,7.9
Prince Edward Island,Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],4.3,5.2,5,4.4,4.4
Prince Edward Island,Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],10.3,10.4,10.4,10.8,11.4
Prince Edward Island,Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",33.5,34,38.4,37.4,43.6
